 Latitude, Longitude,DateGMT,TimeGMT
-27.2010533,-109.4532217,03/11/2017,03:25:13
-27.2010767,-109.4531967,03/11/2017,03:29:25
-27.201085,-109.4532133,03/11/2017,03:33:40
-27.201065,-109.4531967,03/11/2017,03:37:49
-27.2010017,-109.4530767,03/11/2017,03:42:25
-27.2009367,-109.453105,03/11/2017,03:46:28
-27.20102,-109.4530417,03/11/2017,03:50:31
-27.20094,-109.4530283,03/11/2017,03:54:34
-27.2009483,-109.453145,03/11/2017,03:58:37
-27.2009933,-109.4530917,03/11/2017,04:02:42
-27.2009933,-109.4531,03/11/2017,04:06:47
-27.2009917,-109.4530883,03/11/2017,04:10:52
-27.2010183,-109.4530617,03/11/2017,04:14:56
-27.2010733,-109.453,03/11/2017,04:19:01
-27.2010333,-109.453055,03/11/2017,04:23:06
-27.2010317,-109.4530483,03/11/2017,04:27:10
-27.20105,-109.45304,03/11/2017,04:31:14
-27.20102,-109.4530583,03/11/2017,04:35:20
-27.2010417,-109.45311,03/11/2017,04:39:31
-27.2011283,-109.4530183,03/11/2017,04:43:34
-27.2010967,-109.4530833,03/11/2017,04:47:37
-27.2010483,-109.453035,03/11/2017,04:51:40
-27.2009817,-109.453095,03/11/2017,04:55:43
-27.2009317,-109.4532233,03/11/2017,04:59:48
-27.2010183,-109.4530617,03/11/2017,05:03:51
-27.2009383,-109.4531483,03/11/2017,05:07:55
-27.200985,-109.4530583,03/11/2017,05:11:58
-27.201155,-109.4529817,03/11/2017,05:16:03
-27.2011,-109.4530333,03/11/2017,05:20:11
-27.200995,-109.4531133,03/11/2017,05:24:17
-27.2011033,-109.453115,03/11/2017,05:28:24
-27.201055,-109.4531767,03/11/2017,05:32:30
-27.2010133,-109.4531483,03/11/2017,05:36:34
-27.2011533,-109.4531617,03/11/2017,05:40:37
-27.200955,-109.4531433,03/11/2017,05:44:46
-27.20101,-109.4530767,03/11/2017,05:48:53
-27.2009867,-109.45313,03/11/2017,05:53:00
-27.20095,-109.45318,03/11/2017,05:57:05
