Latitude,Longitude,DateGMT,TimeGMT
-27.2010217,-109.4529417,24/11/2017,20:37:04
-27.20073,-109.4537533,24/11/2017,20:41:25
-27.2009283,-109.4529883,24/11/2017,20:45:39
-27.2010083,-109.4528583,24/11/2017,20:50:18
-27.2010083,-109.4527217,24/11/2017,20:54:21
-27.2010033,-109.4528083,24/11/2017,20:58:24
-27.2010583,-109.452765,24/11/2017,21:02:28
-27.2012233,-109.452775,24/11/2017,21:07:04
-27.2011767,-109.4527733,24/11/2017,21:11:32
-27.2011017,-109.4528367,24/11/2017,21:16:00
-27.201095,-109.45286,24/11/2017,21:20:17
-27.201095,-109.4528383,24/11/2017,21:24:32
-27.201205,-109.4529017,24/11/2017,21:28:50
-27.2010933,-109.45283,24/11/2017,21:33:05
-27.2010867,-109.4528133,24/11/2017,21:37:22
-27.20102,-109.4527383,24/11/2017,21:41:40
-27.2010917,-109.4528217,24/11/2017,21:45:58
-27.201045,-109.4528017,24/11/2017,21:50:17
-27.2010217,-109.452845,24/11/2017,21:54:33
-27.201075,-109.4528083,24/11/2017,21:58:50
-27.2010733,-109.452815,24/11/2017,22:03:07
-27.200935,-109.4526983,24/11/2017,22:07:27
-27.2010617,-109.4527833,24/11/2017,22:11:45
-27.2009667,-109.4527433,24/11/2017,22:16:03
-27.2010067,-109.4527717,24/11/2017,22:20:21
-27.200985,-109.452745,24/11/2017,22:24:39
-27.201005,-109.45276,24/11/2017,22:28:56
-27.2011433,-109.4527967,24/11/2017,22:33:11
-27.201,-109.452775,24/11/2017,22:37:27
-27.2011433,-109.4528117,24/11/2017,22:41:50
-27.2012017,-109.4527933,24/11/2017,22:46:05
-27.2010767,-109.45277,24/11/2017,22:50:21
-27.2011083,-109.4527567,24/11/2017,22:54:41
-27.2010583,-109.4527917,24/11/2017,22:58:57
-27.2010833,-109.4528017,24/11/2017,23:03:15
-27.2010717,-109.4527883,24/11/2017,23:07:33
-27.20109,-109.452795,24/11/2017,23:11:51
-27.200825,-109.4526467,24/11/2017,23:16:09
-27.2010717,-109.4527967,24/11/2017,23:20:27
-27.201075,-109.45278,24/11/2017,23:24:45
